Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
1,train_9x9_0422,9,500,-13.9,0,-0.1577
2,train_9x9_0421,9,500,-12.82,0,-0.4727
3,train_9x9_0350,9,500,-13.44,0,-0.3932
4,train_9x9_0076,9,30,1.4,1,1.9753
5,train_9x9_0208,9,500,-14.26,0,-0.3615
6,train_9x9_0234,9,500,-14.24,0,-0.4457
7,train_9x9_0282,9,429,-10.5,1,-0.4585
8,train_9x9_0086,9,7,1.7,1,3.7209
9,train_9x9_0123,9,500,-13.35,0,-0.632
10,train_9x9_0199,9,500,-14.41,0,-0.5942
11,train_9x9_0192,9,500,-13.64,0,-0.6137
12,train_9x9_0489,9,500,-13.74,0,-0.6488
13,train_9x9_0212,9,500,-13.96,0,-0.6364
14,train_9x9_0031,9,292,-6.15,1,-0.0855
15,train_9x9_0412,9,500,-14.51,0,-0.6889
16,train_9x9_0343,9,500,-13.67,0,-0.7451
17,train_9x9_0083,9,90,-0.1,1,2.0973
18,train_9x9_0312,9,500,-13.55,0,-0.6651
19,train_9x9_0018,9,500,-13.17,0,-0.542
20,train_9x9_0083,9,84,0.17,1,2.4237
21,train_9x9_0134,9,500,-12.95,0,-0.6826
22,train_9x9_0321,9,386,-9.88,1,0.1364
23,train_9x9_0059,9,238,-4.66,1,0.6371
24,train_9x9_0399,9,500,-14.23,0,-0.607
25,train_9x9_0182,9,500,-13.58,0,-0.5688
26,train_9x9_0045,9,67,-0.08,1,4.0872
27,train_9x9_0255,9,500,-13.11,0,-0.4388
28,train_9x9_0492,9,145,-2.09,1,2.425
29,train_9x9_0258,9,500,-14.01,0,-0.5315
30,train_9x9_0258,9,500,-14.8,0,-0.4933
31,train_9x9_0472,9,500,-13.64,0,-0.4396
32,train_9x9_0266,9,500,-13.17,0,-0.3932
33,train_9x9_0443,9,500,-13.22,0,-0.2902
34,train_9x9_0072,9,500,-13.1,0,-0.1315
35,train_9x9_0141,9,92,-0.64,1,4.3745
36,train_9x9_0313,9,500,-14.25,0,-0.2754
37,train_9x9_0484,9,500,-14.4,0,-0.311
38,train_9x9_0242,9,500,-13.9,0,-0.2321
39,train_9x9_0405,9,500,-12.93,0,-0.2066
40,train_9x9_0072,9,500,-13.01,0,-0.0121
41,train_9x9_0179,9,500,-13.92,0,0.0211
42,train_9x9_0249,9,500,-14.25,0,-0.1254
