Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
1,train_9x9_0248,9,500,-12.73,0,-0.0692
2,train_9x9_0241,9,20,1.46,1,-0.0693
3,train_9x9_0202,9,400,-9.71,1,-0.0693
4,train_9x9_0489,9,500,-14.04,0,-0.0693
5,train_9x9_0165,9,500,-13.24,0,-0.0693
6,train_9x9_0298,9,500,-13.32,0,-0.0693
7,train_9x9_0380,9,127,-2.05,1,-0.0693
8,train_9x9_0141,9,500,-13.61,0,-0.0693
9,train_9x9_0018,9,367,-8.16,1,-0.0693
10,train_9x9_0281,9,393,-8.94,1,-0.0693
11,train_9x9_0267,9,500,-13.76,0,-0.0693
12,train_9x9_0298,9,500,-13.3,0,-0.0693
13,train_9x9_0053,9,500,-14.2,0,-0.0693
14,train_9x9_0192,9,238,-4.69,1,-0.0693
15,train_9x9_0074,9,385,-8.76,1,-0.0693
16,train_9x9_0077,9,500,-14.23,0,-0.0693
17,train_9x9_0477,9,110,-1.83,1,-0.0693
18,train_9x9_0345,9,482,-11.77,1,-0.0693
19,train_9x9_0230,9,500,-13.8,0,-0.0693
20,train_9x9_0065,9,500,-13.72,0,-0.0693
21,train_9x9_0001,9,420,-9.27,1,-0.0693
22,train_9x9_0451,9,500,-12.69,0,-0.0693
23,train_9x9_0109,9,488,-11.77,1,-0.0693
24,train_9x9_0399,9,372,-8.57,1,-0.0693
25,train_9x9_0400,9,483,-12.23,1,-0.0693
26,train_9x9_0101,9,362,-7.79,1,-0.0693
27,train_9x9_0390,9,500,-12.53,0,-0.0693
28,train_9x9_0150,9,500,-13.15,0,-0.0693
29,train_9x9_0386,9,127,-0.96,1,-0.0693
30,train_9x9_0346,9,500,-12.62,0,-0.0693
31,train_9x9_0165,9,500,-13.23,0,-0.0693
32,train_9x9_0070,9,500,-13.28,0,-0.0693
33,train_9x9_0486,9,500,-14.86,0,-0.0693
34,train_9x9_0052,9,81,-0.01,1,-0.0693
35,train_9x9_0228,9,182,-2.33,1,-0.0693
36,train_9x9_0319,9,333,-6.56,1,-0.0693
37,train_9x9_0288,9,500,-14.46,0,-0.0693
38,train_9x9_0251,9,223,-4.11,1,-0.0693
39,train_9x9_0112,9,500,-13.76,0,-0.0693
40,train_9x9_0046,9,500,-14.18,0,-0.0693
41,train_9x9_0041,9,321,-6.27,1,-0.0693
42,train_9x9_0122,9,500,-12.71,0,-0.0693
43,train_9x9_0003,9,500,-13.39,0,-0.0693
44,train_9x9_0039,9,225,-3.7,1,-0.0693
45,train_9x9_0352,9,500,-14.06,0,-0.0693
46,train_9x9_0332,9,169,-2.31,1,-0.0693
47,train_9x9_0410,9,500,-14.38,0,-0.0693
48,train_9x9_0458,9,186,-3.49,1,-0.0693
49,train_9x9_0465,9,132,-1.59,1,-0.0693
50,train_9x9_0152,9,228,-3.57,1,-0.0693
51,train_9x9_0475,9,500,-14.06,0,-0.0693
52,train_9x9_0101,9,500,-13.93,0,-0.0693
53,train_9x9_0042,9,105,-1.0,1,-0.0693
54,train_9x9_0281,9,500,-13.15,0,-0.0693
55,train_9x9_0351,9,500,-13.79,0,-0.0693
56,train_9x9_0156,9,218,-3.68,1,-0.0693
57,train_9x9_0074,9,255,-5.16,1,-0.0693
58,train_9x9_0113,9,6,1.91,1,-0.0693
59,train_9x9_0232,9,411,-9.4,1,-0.0693
60,train_9x9_0219,9,500,-12.89,0,-0.0693
61,train_9x9_0380,9,500,-13.57,0,-0.0693
62,train_9x9_0341,9,500,-12.91,0,-0.0693
63,train_9x9_0088,9,217,-3.95,1,-0.0693
64,train_9x9_0411,9,500,-14.09,0,-0.0693
65,train_9x9_0157,9,369,-8.32,1,-0.0693
66,train_9x9_0087,9,500,-13.4,0,-0.0693
67,train_9x9_0207,9,166,-2.16,1,-0.0693
68,train_9x9_0058,9,500,-13.25,0,-0.0693
69,train_9x9_0413,9,500,-13.97,0,-0.0693
70,train_9x9_0056,9,411,-9.62,1,-0.0693
71,train_9x9_0165,9,500,-14.2,0,-0.0693
72,train_9x9_0487,9,500,-13.83,0,-0.0693
73,train_9x9_0401,9,500,-13.86,0,-0.0693
74,train_9x9_0407,9,500,-14.81,0,-0.0693
75,train_9x9_0457,9,365,-8.13,1,-0.0693
76,train_9x9_0105,9,500,-13.45,0,-0.0693
77,train_9x9_0241,9,481,-12.12,1,-0.0693
